id_execucao,rotulo,etapa,status,linhas_retornadas,duracao_s,executado_em,mensagem_erro
ea61e910-d8bf-4fe1-964b-89f8c8ec8016,SELIC,bronze,success,,,2026-05-28 18:43:45.415080,
5ab9d210-b2cc-4165-8086-36e31c85eb26,PTAX_USD,bronze,success,,,2026-05-28 18:43:45.415080,
07efad4d-0e98-45c5-8d3b-1e0a6c669f7a,PTAX_EUR,bronze,success,,,2026-05-28 18:43:45.415080,
441377d3-6d37-4f62-a7d5-1ea859874952,INDICADORES,silver,success,3618.0,,2026-05-28 18:43:45.415080,
f01b6129-23ec-40b2-87e7-0d201d27409b,FCT_INDICADOR_DIARIO,gold,success,3618.0,,2026-05-28 18:43:45.415080,
