sk_fato,data_referencia,sk_indicador,valor,preenchido,vigencia_inicio,vigencia_fim,registro_atual
75,2024-01-10,2,4.8887,False,2026-05-28 18:52:28.093221,,True
76,2024-01-10,2,4.8952,False,2026-05-28 18:52:28.093221,,True
77,2024-01-10,2,4.8887,False,2026-05-28 18:52:28.093221,,True
78,2024-01-10,2,4.8895,False,2026-05-28 18:52:28.093221,,True
79,2024-01-10,3,5.3455,False,2026-05-28 18:52:28.093221,,True
80,2024-01-10,3,5.3477,False,2026-05-28 18:52:28.093221,,True
81,2024-01-10,3,5.3544,False,2026-05-28 18:52:28.093221,,True
82,2024-01-10,3,5.3609,False,2026-05-28 18:52:28.093221,,True
83,2024-01-10,3,5.3618,False,2026-05-28 18:52:28.093221,,True
84,2024-01-11,1,0.043739,False,2026-05-28 18:52:28.093221,,True
85,2024-01-11,2,4.8788,False,2026-05-28 18:52:28.093221,,True
86,2024-01-11,2,4.8793,False,2026-05-28 18:52:28.093221,,True
87,2024-01-11,2,4.8758,False,2026-05-28 18:52:28.093221,,True
88,2024-01-11,2,4.8842,False,2026-05-28 18:52:28.093221,,True
89,2024-01-11,2,4.8759,False,2026-05-28 18:52:28.093221,,True
90,2024-01-11,3,5.3398,False,2026-05-28 18:52:28.093221,,True
91,2024-01-11,3,5.3433,False,2026-05-28 18:52:28.093221,,True
92,2024-01-11,3,5.3366,False,2026-05-28 18:52:28.093221,,True
93,2024-01-11,3,5.3423,False,2026-05-28 18:52:28.093221,,True
94,2024-01-11,3,5.3557,False,2026-05-28 18:52:28.093221,,True
95,2024-01-12,1,0.043739,False,2026-05-28 18:52:28.093221,,True
96,2024-01-12,2,4.8698,False,2026-05-28 18:52:28.093221,,True
97,2024-01-12,2,4.8511,False,2026-05-28 18:52:28.093221,,True
98,2024-01-12,2,4.8416,False,2026-05-28 18:52:28.093221,,True
99,2024-01-12,2,4.8523,False,2026-05-28 18:52:28.093221,,True
100,2024-01-12,2,4.8537,False,2026-05-28 18:52:28.093221,,True
101,2024-01-12,3,5.3256,False,2026-05-28 18:52:28.093221,,True
102,2024-01-12,3,5.3144,False,2026-05-28 18:52:28.093221,,True
103,2024-01-12,3,5.3132,False,2026-05-28 18:52:28.093221,,True
104,2024-01-12,3,5.3201,False,2026-05-28 18:52:28.093221,,True
105,2024-01-12,3,5.3216,False,2026-05-28 18:52:28.093221,,True
106,2024-01-13,1,0.043739,True,2026-05-28 18:52:28.093221,,True
107,2024-01-13,2,4.8537,True,2026-05-28 18:52:28.093221,,True
108,2024-01-13,3,5.3216,True,2026-05-28 18:52:28.093221,,True
109,2024-01-14,1,0.043739,True,2026-05-28 18:52:28.093221,,True
110,2024-01-14,2,4.8537,True,2026-05-28 18:52:28.093221,,True
111,2024-01-14,3,5.3216,True,2026-05-28 18:52:28.093221,,True
112,2024-01-15,1,0.043739,False,2026-05-28 18:52:28.093221,,True
113,2024-01-15,2,4.8759,False,2026-05-28 18:52:28.093221,,True
114,2024-01-15,2,4.8792,False,2026-05-28 18:52:28.093221,,True
115,2024-01-15,2,4.8764,False,2026-05-28 18:52:28.093221,,True
116,2024-01-15,2,4.8746,False,2026-05-28 18:52:28.093221,,True
117,2024-01-15,2,4.8735,False,2026-05-28 18:52:28.093221,,True
118,2024-01-15,3,5.3381,False,2026-05-28 18:52:28.093221,,True
119,2024-01-15,3,5.3417,False,2026-05-28 18:52:28.093221,,True
120,2024-01-15,3,5.3353,False,2026-05-28 18:52:28.093221,,True
121,2024-01-15,3,5.3377,False,2026-05-28 18:52:28.093221,,True
122,2024-01-15,3,5.3375,False,2026-05-28 18:52:28.093221,,True
123,2024-01-16,1,0.043739,False,2026-05-28 18:52:28.093221,,True
